Amount,Currency,Rate,Provider,Region,Payment Status,Payment Channel,Mode,Provider Message,Payment Date,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T15:52:22Z,,,,,,,,,,,,,,
5,USD,1499.85,paystack,Nigeria,failed,card,LIVE,Kindly enter the OTP sent to 2347XXXXXXX22. OR enter the OTP generated on your Hardware Token or Sec,2025-11-15T15:51:12Z,,,,,,,,,,,,,,
20,USD,12.63,hubtel,Ghana,successful,mobile_money,LIVE,success,2025-11-15T15:50:39Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T15:48:14Z,,,,,,,,,,,,,,
50417,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T15:47:38Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T15:47:18Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T15:42:43Z,,,,,,,,,,,,,,
200,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T15:42:42Z,,,,,,,,,,,,,,
500,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T15:40:34Z,,,,,,,,,,,,,,
1800,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T15:31:32Z,,,,,,,,,,,,,,
1800,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T15:30:01Z,,,,,,,,,,,,,,
15,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T15:29:06Z,,,,,,,,,,,,,,
1800,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T15:28:28Z,,,,,,,,,,,,,,
5,USD,12.63,hubtel,Ghana,successful,mobile_money,LIVE,success,2025-11-15T15:28:02Z,,,,,,,,,,,,,,
2000,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T15:25:27Z,,,,,,,,,,,,,,
5,USD,12.63,hubtel,Ghana,successful,mobile_money,LIVE,success,2025-11-15T15:22:19Z,,,,,,,,,,,,,,
2000,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T15:22:19Z,,,,,,,,,,,,,,
5,USD,12.63,hubtel,Ghana,cancelled,mobile_money,LIVE,Please enter the one time password sent to your phone,2025-11-15T15:15:16Z,,,,,,,,,,,,,,
10,USD,12.63,spotflow_accounts,Ghana,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T15:14:20Z,,,,,,,,,,,,,,
500,USD,18.19,ozow,South Africa,failed,eft,LIVE,,2025-11-15T15:11:24Z,,,,,,,,,,,,,,
10,USD,12.63,hubtel,Ghana,successful,mobile_money,LIVE,success,2025-11-15T15:08:51Z,,,,,,,,,,,,,,
5,USD,18.19,ozow,South Africa,failed,eft,LIVE,,2025-11-15T15:03:08Z,,,,,,,,,,,,,,
5000,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T14:59:15Z,,,,,,,,,,,,,,
50417,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T14:55:18Z,,,,,,,,,,,,,,
50417,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T14:52:38Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T14:50:28Z,,,,,,,,,,,,,,
500,GHS,12.63,hubtel,Ghana,successful,mobile_money,LIVE,success,2025-11-15T14:48:56Z,,,,,,,,,,,,,,
5,USD,12.63,hubtel,Ghana,successful,mobile_money,LIVE,success,2025-11-15T14:48:37Z,,,,,,,,,,,,,,
5,USD,1499.85,paystack,Nigeria,failed,card,LIVE,Request to Generate Token is Successful,2025-11-15T14:48:34Z,,,,,,,,,,,,,,
1000,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T14:47:35Z,,,,,,,,,,,,,,
10,USD,2627.66,tembo_plus,Tanzania,successful,mobile_money,LIVE,Payment completed,2025-11-15T14:43:56Z,,,,,,,,,,,,,,
6,USD,2627.66,tembo_plus,Tanzania,failed,mobile_money,LIVE,INSUFFICIENT_FUNDS,2025-11-15T14:39:52Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T14:33:20Z,,,,,,,,,,,,,,
5,USD,12.63,hubtel,Ghana,failed,mobile_money,LIVE,"The MTN Mobile Money user has reached counter or balance limits""",Audiomack Inc.,5,USD,1499.85,spotflow_accounts,Nigeria,ohexzyleo@gmail.com,abandoned,1277008759,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,,,2025-11-15T14:22:07Z
8,USD,1499.85,spotflow_accounts,Nigeria,successful,bank_transfer,LIVE,successful,2025-11-15T14:15:44Z,,,,,,,,,,,,,,
5,USD,18.19,ozow,South Africa,abandoned,eft,LIVE,Internet banking session timed out,2025-11-15T14:12:00Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,successful,bank_transfer,LIVE,successful,2025-11-15T14:11:53Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T14:09:43Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T14:07:26Z,,,,,,,,,,,,,,
50,USD,12.63,paystack,Ghana,successful,card,LIVE,,2025-11-15T13:53:11Z,,,,,,,,,,,,,,
20,USD,18.19,ozow,South Africa,abandoned,eft,LIVE,Internet banking session timed out,2025-11-15T13:50:49Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,successful,bank_transfer,LIVE,successful,2025-11-15T13:49:24Z,,,,,,,,,,,,,,
10,USD,1499.85,paystack,Nigeria,failed,card,LIVE,Kindly enter the OTP sent to 2347XXXXXXX22. OR enter the OTP generated on your Hardware Token or Sec,2025-11-15T13:47:43Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T13:47:39Z,,,,,,,,,,,,,,
9,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T13:45:53Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,successful,bank_transfer,LIVE,successful,2025-11-15T13:43:40Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T13:42:18Z,,,,,,,,,,,,,,
5,USD,18.19,ozow,South Africa,abandoned,eft,LIVE,Internet banking session timed out,2025-11-15T13:36:04Z,,,,,,,,,,,,,,
5,USD,12.63,hubtel,Ghana,successful,mobile_money,LIVE,success,2025-11-15T13:29:22Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T13:28:14Z,,,,,,,,,,,,,,
500,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T13:26:01Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T13:17:38Z,,,,,,,,,,,,,,
10,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T13:11:29Z,,,,,,,,,,,,,,
10000,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T13:10:00Z,,,,,,,,,,,,,,
500,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T13:05:54Z,,,,,,,,,,,,,,
1,USD,12.63,hubtel,Ghana,successful,mobile_money,LIVE,success,2025-11-15T13:04:55Z,,,,,,,,,,,,,,
8,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T13:02:31Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T13:00:14Z,,,,,,,,,,,,,,
100,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T12:54:10Z,,,,,,,,,,,,,,
20,USD,1499.85,spotflow_accounts,Nigeria,successful,bank_transfer,LIVE,successful,2025-11-15T12:54:00Z,,,,,,,,,,,,,,
500,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T12:49:14Z,,,,,,,,,,,,,,
5,USD,12.63,hubtel,Ghana,successful,mobile_money,LIVE,success,2025-11-15T12:45:46Z,,,,,,,,,,,,,,
500,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T12:44:40Z,,,,,,,,,,,,,,
500,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T12:43:17Z,,,,,,,,,,,,,,
2,USD,12.63,hubtel,Ghana,cancelled,mobile_money,LIVE,Please enter the one time password sent to your phone,2025-11-15T12:37:54Z,,,,,,,,,,,,,,
2000,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T12:37:46Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T12:34:22Z,,,,,,,,,,,,,,
20,USD,1499.85,spotflow_accounts,Nigeria,successful,bank_transfer,LIVE,successful,2025-11-15T12:31:40Z,,,,,,,,,,,,,,
6,USD,2627.66,tembo_plus,Tanzania,failed,mobile_money,LIVE,PROVIDER_FAILED,2025-11-15T12:23:50Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T12:14:52Z,,,,,,,,,,,,,,
10,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T12:09:25Z,,,,,,,,,,,,,,
5,USD,1499.85,paystack,Nigeria,successful,card,LIVE,,2025-11-15T12:08:55Z,,,,,,,,,,,,,,
500,GHS,12.63,hubtel,Ghana,successful,mobile_money,LIVE,success,2025-11-15T12:06:23Z,,,,,,,,,,,,,,
20,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T12:05:01Z,,,,,,,,,,,,,,
10,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T12:03:48Z,,,,,,,,,,,,,,
20,USD,12.63,hubtel,Ghana,successful,mobile_money,LIVE,success,2025-11-15T12:01:01Z,,,,,,,,,,,,,,
20,USD,12.63,hubtel,Ghana,failed,mobile_money,LIVE,Please enter the one time password sent to your phone,2025-11-15T11:59:43Z,,,,,,,,,,,,,,
28,USD,1499.85,spotflow_accounts,Nigeria,successful,bank_transfer,LIVE,successful,2025-11-15T11:55:19Z,,,,,,,,,,,,,,
1000,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T11:54:06Z,,,,,,,,,,,,,,
5,USD,18.19,ozow,South Africa,successful,eft,LIVE,,2025-11-15T11:53:49Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T11:53:46Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T11:53:24Z,,,,,,,,,,,,,,
10,USD,12.63,hubtel,Ghana,failed,mobile_money,LIVE,"The MTN Mobile Money user has reached counter or balance limits""",Audiomack Inc.,5,USD,18.19,ozow,South Africa,bomiasanda@gmail.com,cancelled,,eft,LIVE,Transaction was cancelled,,,2025-11-15T11:49:06Z
10,USD,12.63,hubtel,Ghana,failed,mobile_money,LIVE,Please enter the one time password sent to your phone,2025-11-15T11:38:54Z,,,,,,,,,,,,,,
10,USD,1499.85,paystack,Nigeria,cancelled,card,LIVE,,2025-11-15T11:29:36Z,,,,,,,,,,,,,,
1500,USD,2627.66,tembo_plus,Tanzania,failed,mobile_money,LIVE,INSUFFICIENT_FUNDS,2025-11-15T11:25:38Z,,,,,,,,,,,,,,
20,USD,12.63,paystack,Ghana,abandoned,card,LIVE,,2025-11-15T11:09:53Z,,,,,,,,,,,,,,
1,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T11:06:52Z,,,,,,,,,,,,,,
1,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T11:06:12Z,,,,,,,,,,,,,,
5,USD,18.19,ozow,South Africa,failed,eft,LIVE,,2025-11-15T10:57:55Z,,,,,,,,,,,,,,
20,USD,12.63,paystack,Ghana,abandoned,card,LIVE,,2025-11-15T10:55:57Z,,,,,,,,,,,,,,
5,USD,1499.85,paystack,Nigeria,failed,card,LIVE,,2025-11-15T10:50:19Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T10:49:47Z,,,,,,,,,,,,,,
50,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T10:48:44Z,,,,,,,,,,,,,,
5,USD,1499.85,spotflow_accounts,Nigeria,abandoned,bank_transfer,LIVE,Payment abandoned after being pending for more than 1 hours,2025-11-15T10:47:44Z,,,,,,,,,,,,,,
